"filename", "language", "JavaScript JSX", "JSON", "TypeScript", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/App.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 4, 24
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/about.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 1, 10
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/apartments.jsx", "JavaScript JSX", 95, 0, 0, 0, 0, 0, 10, 105
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/cell.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 7
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/contact.jsx", "JavaScript JSX", 118, 0, 0, 0, 0, 0, 17, 135
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/footer.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 2, 11
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/full_screen_photo_library.jsx", "JavaScript JSX", 67, 0, 0, 0, 0, 0, 10, 77
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/google-maps.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 2, 7, 35
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/header.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 3, 14
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/lazy_hashed_image.jsx", "JavaScript JSX", 42, 0, 0, 0, 0, 0, 8, 50
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/location.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 1, 3, 24
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/map.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/photo_library.jsx", "JavaScript JSX", 88, 0, 0, 0, 0, 4, 15, 107
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/questions.jsx", "JavaScript JSX", 40, 0, 0, 0, 0, 0, 10, 50
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/select_simplified.jsx", "JavaScript JSX", 49, 0, 0, 0, 0, 0, 4, 53
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/About.css", "CSS", 0, 0, 0, 3, 0, 0, 1, 4
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Apartments.css", "CSS", 0, 0, 0, 36, 0, 0, 5, 41
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/ApartmentsDialog.css", "CSS", 0, 0, 0, 73, 0, 0, 12, 85
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Contact.css", "CSS", 0, 0, 0, 42, 0, 3, 17, 62
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Content.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/css/Footer.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
