"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/App.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 4, 21
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/about.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 1, 10
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/apartments.jsx", "JavaScript JSX", 0, 141, 0, 0, 0, 13, 19, 173
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/cell.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 7
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/contact.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 6, 16, 134
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/footer.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 2, 10
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/full_screen_galery.jsx", "JavaScript JSX", 0, 135, 0, 0, 0, 6, 23, 164
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/full_screen_photo_library.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 10, 77
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/google-maps.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 2, 7, 35
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/header.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 6, 9, 67
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/lazy_hashed_image.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 0, 8, 50
"/Users/infinityatom/Projects/Bloc suceava/Vuia-loft-apartments/src/components/location.jsx", "JavaScript JSX", 0, 208, 0, 0, 0, 22, 48, 278
